symbol,name,gics_sector,gics_sub_sector,headquarters,date_added,cik,founded,wikipedia_page,nyse_page,page_content
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",1998-07-01,0001059556,1909,https://en.wikipedia.org/wiki/Moody%27s_Corporation,https://www.nyse.com/quote/XNYS:MCO,"Moody's Corporation, often referred to as Moody's, is an American business and financial services co"
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",1993-07-29,0000895421,1935,https://en.wikipedia.org/wiki/Morgan_Stanley,https://www.nyse.com/quote/XNYS:MS,Morgan Stanley is an American multinational investment bank and financial services company headquart
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2011-09-26,0001285785,2004 (1865 / 1909),https://en.wikipedia.org/wiki/The_Mosaic_Company,https://www.nyse.com/quote/XNYS:MOS,"The Mosaic Company is an American chemical company based in Tampa, Florida, which mines phosphate, p"
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,0000068505,1928 (2011),https://en.wikipedia.org/wiki/Motorola_Solutions,https://www.nyse.com/quote/XNYS:MSI,"Motorola Solutions, Inc. is an American video equipment, telecommunications equipment, software, sys"
MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",2018-04-04,0001408198,1969,https://en.wikipedia.org/wiki/MSCI,https://www.nyse.com/quote/XNYS:MSCI,MSCI Inc. is an American finance company headquartered in New York City. MSCI is a global provider o
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",2008-10-22,0001120193,1971,"https://en.wikipedia.org/wiki/Nasdaq,_Inc.",https://www.nasdaq.com/market-activity/stocks/ndaq,"Nasdaq, Inc. is an American multinational financial services corporation that owns and operates thre"
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1999-06-25,0001002047,1992,https://en.wikipedia.org/wiki/NetApp,https://www.nasdaq.com/market-activity/stocks/ntap,"NetApp, Inc. is an American data infrastructure company that provides unified data storage, integrat"
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,0001065280,1997,"https://en.wikipedia.org/wiki/Netflix,_Inc.",https://www.nasdaq.com/market-activity/stocks/nflx,"Netflix, Inc. is an American media company founded in 1997 by Reed Hastings and Marc Randolph in Sco"
NEM,Newmont,Materials,Gold,"Denver, Colorado",1969-06-30,0001164727,1921,https://en.wikipedia.org/wiki/Newmont,https://www.nyse.com/quote/XNYS:NEM,"Newmont Corporation is an American gold mining company based in Greenwood Village, Colorado. 
It is "
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",2013-08-01,0001564708,2013 (News Corporation 1980),https://en.wikipedia.org/wiki/News_Corp,https://www.nasdaq.com/market-activity/stocks/nwsa,"News Corporation, stylized as News Corp, is an American mass media and publishing company headquarte"
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",2015-09-18,0001564708,2013 (News Corporation 1980),https://en.wikipedia.org/wiki/News_Corp,https://www.nasdaq.com/market-activity/stocks/nws,"News Corporation, stylized as News Corp, is an American mass media and publishing company headquarte"
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,0000753308,1984 (1925),https://en.wikipedia.org/wiki/NextEra_Energy,https://www.nyse.com/quote/XNYS:NEE,"NextEra Energy, Inc. is an American energy company with about 58 GW of generating capacity (24 GW of"
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,0000320187,1964,"https://en.wikipedia.org/wiki/Nike,_Inc.",https://www.nyse.com/quote/XNYS:NKE,"Nike, Inc. (stylized as NIKE) is an American athletic footwear and apparel corporation headquartered"
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",2000-11-02,0001111711,1912,https://en.wikipedia.org/wiki/NiSource,https://www.nyse.com/quote/XNYS:NI,"NiSource Inc. is one of the largest fully regulated utility companies in the United States, serving "
